"","member_casual","weekday","rideable_type","number_of_rides","average_duration","total_duration"
"1","casual","Sun","classic_bike",159574,31.6170938456975,5045266.13333333
"2","casual","Sun","docked_bike",36195,129.865721784777,4700489.8
"3","casual","Sun","electric_bike",196308,18.434543421562,3618848.35
"4","casual","Mon","classic_bike",105063,29.2335197294322,3071361.28333333
"5","casual","Mon","docked_bike",22909,115.135922563185,2637648.85
"6","casual","Mon","electric_bike",152473,16.3287999623977,2489701.11666667
"7","casual","Tue","classic_bike",96233,27.2752972819442,2624783.68333333
"8","casual","Tue","docked_bike",17866,114.562898802194,2046780.75
"9","casual","Tue","electric_bike",149929,14.5916831744804,2187716.46666667
"10","casual","Wed","classic_bike",99736,26.1335831595412,2606459.05
"11","casual","Wed","docked_bike",17780,111.157929321335,1976387.98333333
"12","casual","Wed","electric_bike",161848,14.3236347272338,2318251.63333333
"13","casual","Thu","classic_bike",114929,26.4780608027565,3043097.05
"14","casual","Thu","docked_bike",20192,116.128786152932,2344872.45
"15","casual","Thu","electric_bike",178584,14.7561036636354,2635204.01666667
"16","casual","Fri","classic_bike",124704,27.8345670547857,3471081.85
"17","casual","Fri","docked_bike",23941,124.123598290241,2971643.06666667
"18","casual","Fri","electric_bike",191817,15.7397550790597,3019152.6
"19","casual","Sat","classic_bike",198322,30.3962423903215,6028243.58333333
"20","casual","Sat","docked_bike",41588,124.022744140938,5157857.88333333
"21","casual","Sat","electric_bike",236616,18.2516185155132,4318624.96666667
"22","member","Sun","classic_bike",202811,15.3671850474908,3116634.16666667
"23","member","Sun","electric_bike",187645,12.6250056400828,2369019.18333333
"24","member","Mon","classic_bike",249362,13.3963585069096,3340542.75
"25","member","Mon","electric_bike",227541,11.0446299787731,2513106.15
"26","member","Tue","classic_bike",268916,13.3123427637875,3579901.96666667
"27","member","Tue","electric_bike",249707,10.8952639827211,2720623.68333333
"28","member","Wed","classic_bike",272905,13.1473319775502,3587972.63333333
"29","member","Wed","electric_bike",264806,10.9530016943221,2900420.56666667
"30","member","Thu","classic_bike",271145,13.4552954446268,3648336.08333333
"31","member","Thu","electric_bike",269156,11.1374878013742,2997721.66666667
"32","member","Fri","classic_bike",236180,13.6224458746154,3217349.26666667
"33","member","Fri","electric_bike",240693,11.4003428295242,2743982.71666667
"34","member","Sat","classic_bike",228493,15.5639957606287,3556264.08333333
"35","member","Sat","electric_bike",216946,12.6639478641382,2747392.83333333
